str,en,ar,ay,ny,es,fr,id,km,ku,ky,my,ne,nr,pt_BR,pt,pt_MZ,qu,rn,ru,rw,sn,sw,tg,th,ts,ur
dob,Select date of birth,حدد تاريخ الميلاد,,Sankhani tsiku la kubadwa,Seleccione la fecha de nacimiento,Entrez votre date de naissance,Pilih tanggal lahir,ជ្រើសរើសថ្ងៃខែឆ្នាំកំណើត,,туулган тандоо датасы,ေမြးေန႔ သကၠရာဇ္ကို ေရြးပါ,जन्म मिति चयन,khetha ilanga lokuzalwa,Selecione a data de nascimento,Selecione a data de nascimento,Selecione a data de nascimento,kampak wacharishka pachata akllapay,Hitamwo itariki yamavuko,Выбрать дату рождения,,Sarudza zuva rekuberekwa ,Chagua tarehe ya kuzaliwa,Интихоб санаи таваллуд,เลือกวันเดือนปีเกิด,,تاریخِ پیدائش چنیں
dob_helptext,Let us know your birthday to get access to exclusive content.,أخبرنا بتاريخ ميلادك للوصول إلى المحتوى الحصري.,,Tiuzeni zambiri za inu kuti muthe kuona zina zambiri pa tsambali.,Dinos cuándo es su cumpleaños para tener acceso a contenido exclusivo.,Entrez votre date d'anniversaire pour accéder à du contenu exclusif,Beritahu kami ulang tahun anda untuk mendapatkan konten eksklusif,អនុញ្ញាតឲ្យយើងដឹងថ្ងៃកំណើតអ្នក ដើម្បីអ្នកអាចទទួលបានព័ត៌មានសំខាន់ៗ,,"Келгиле, өзгөчө мазмунга кирүү мүмкүнчүлүгүн алуу үчүн туулган айткыла.",သီးသန္႔အေၾကာင္းအရာမ်ား ရရွိႏိုင္ရန္ သင္၏ ေမြးေန႔ကို ေျပာျပပါ။,हामीलाई विशेष सामग्री पहुँच प्राप्त गर्न आफ्नो जन्मदिन थाह दिनुहोस्।,sazise ukuthi wazalwa nini ukuze ubelemvumo yokuthola okunengi,Escreva a sua data de nascimento para ter acesso aos conteúdos exclusivos.,Escreva a sua data de nascimento para ter acesso aos conteúdos exclusivos.,Escreva a sua data de nascimento para ter acesso aos conteúdos exclusivos.,kanmanlla shuk willaykunata rikuchinkapak kanpa wacharishka pachata churapay,Tumenyeshe itariki yamavuko yanyu kugirango tubone ibintu vyihariye.,"Сообщите нам дату своего рождения, чтобы получить доступ к эксклюзивному контенту.",,Tizivise  zitarako rekuzvarwa kuti uwane mvumo kuzvizhinji,Tufahamishe siku yako ya kuzaliwa ili uweze kufikia maudhui ya kipekee.,"Зодрӯзи худро ба мо бигӯед, то ба муҳтавои истисноӣ дастрасӣ пайдо кунед",แจ้งวันเกิดของคุณเพื่อรับสิทธิเข้าสู่เนื้อหาพิเศษ,,ہمارے خصوصی مواد تک رسائی حاصل کرنے کے لئے اپنی سالگرہ بتائیں.
gender,I identify my gender as:,أحدد بلدي الجنسين على النحو التالي:,,mamuna/mkazi:,Me identifico mi género como:,J'identifie mon genre comme :,Saya mengidentifikasi jenis kelamin saya sebagai:,ខ្ញុំបានកំណត់អត្តសញ្ញាណយេនឌ័ររបស់ខ្ញុំជា:,,Мен гендердик деп аталат:,: သကဲ့သို့ငါ၏ကျားငါခွဲခြားသတ်မှတ်,म मेरो लिङ्ग पहिचान:,ngizibona ngingumuntu we:,Identificar o meu gênero como:,Identificar o meu gênero como:,Identificar o meu gênero como:,Ima runatak kanki:,Ndagaragaje igitsina canje nk’:,"Я идентифицирую мой пол, как:",,Ndinozvipatsanura semunh:,I kutambua jinsia yangu kama:,Ман муайян гендерї ман ҳамчун:,ฉันระบุเพศของฉันเป็น:,,میں اپنی صنف کی شناخت کرتا ہوں جیسے:
gender_helptext,Only you will see this,أنت فقط سوف نرى هذا,,Inu nokha ndi amene muone izi,Sólo verá este,Vous serez le/la seul(e) à voir ceci,Hanya Anda akan melihat ini,មានតែអ្នកនឹងឃើញនេះ,,Ушуну сиз гана көрө аласыз,သင်သည်ဤမှသာလျှင်မြင်ရပါလိမ့်မည်,तपाईं मात्र यो देख्ने,nguwe wedwa ozabona lokhu,Somente você vai ver isso,Somente você vai ver isso,Somente você vai ver isso,kanlla rikuyta ushankimi,Mwebwegusa nimwe muzobona ibi.,Только вы увидите это,,Ndiwe wega unokwanisa kuona izvi,Wewe tu ndiye kuona hii,Танҳо шумо инро дида,เฉพาะคุณเท่านั้นที่จะเห็นสิ่งนี้,,صرف تم اسے دیکھیں گے
location,Where do you live?,أين تسكن؟,,Mumakhala kuti?,¿Dónde vives?,Où habitez-vous? ,Di mana kamu tinggal?,តើ​អ្នក​រស់នៅ​ឯណា?,,Сен кайда жашайсың?,သင်ဘယ်မှာနေလဲ?,तिमि कहाँ बस्छौ?,uhlala ngaphi?,Onde você mora?,Onde você mora?,Onde você mora?,Maypitak kawsanki?,Muba hehe?,Где вы живете?,,Unogara kupi?,Unaishi wapi?,Шумо дар куҷо зиндагӣ мекунед?,คุณพักอยู่ที่ไหน?,,آپ کہاں رہتے ہیں
location_helptext,Only you will see this,أنت فقط سوف نرى هذا,,Inu nokha ndi amene muone izi,Sólo verá este,Vous serez le/la seul(e) à voir ceci,Hanya Anda akan melihat ini,មានតែអ្នកនឹងឃើញនេះ,,Ушуну сиз гана көрө аласыз,သင်သည်ဤမှသာလျှင်မြင်ရပါလိမ့်မည်,तपाईं मात्र यो देख्ने,nguwe wedwa ozabona lokhu,Somente você vai ver isso,Somente você vai ver isso,Somente você vai ver isso,kanlla rikuyta ushankimi,Mwebwegusa nimwe muzobona ibi.,Только вы увидите это,,Ndiwe wega unokwanisa kuona izvi,Wewe tu ndiye kuona hii,Танҳо шумо инро дида,เฉพาะคุณเท่านั้นที่จะเห็นสิ่งนี้,,صرف تم اسے دیکھیں گے
education_level,What is your highest level of education?,ما هو أعلى مستوى من التعليم؟,,Mudalekeza pati maphunziro anu?,¿Cual es tu nivel más alto de educación?,Quel est votre plus haut niveau d'éducation? ,Apa tingkat tertinggi Anda pendidikan?,កម្រិតខ្ពស់បំផុតនៃការអប់រំរបស់អ្នកគឺជាអ្វី?,,билим сиздин жогорку деңгээл деген эмне?,ပညာရေး၏သင့်ရဲ့အမြင့်ဆုံးအဆင့်အထိကဘာလဲ?,शिक्षा को आफ्नो उच्चतम स्तर के हो?,wafunda wacina ngaphi?,Qual o seu maior nível de escolaridade?,Qual o seu maior nível de escolaridade?,Qual o seu maior nível de escolaridade?,"Yachakuytaka, imakaman katita ushashkanki?",Niyihe mpamyabushobozi yo kurwego rwohejuru mumashure mufise?,Какой у вас самый высокий уровень образования?,,Wakadzidza kusvika papi?,ni kiwango chako cha juu cha elimu ni nini?,баландтарин сатҳи худ аз маориф чӣ гуна аст?,เป็นระดับสูงสุดของการศึกษาของคุณคืออะไร?,,آپ کی اعلی درجے کی تعلیم کیا ہے؟
education_level_helptext,Only you will see this,أنت فقط سوف نرى هذا,,Inu nokha ndi amene muone izi,Sólo verá este,Vous serez le/la seul(e) à voir ceci,Hanya Anda akan melihat ini,មានតែអ្នកនឹងឃើញនេះ,,Ушуну сиз гана көрө аласыз,သင်သည်ဤမှသာလျှင်မြင်ရပါလိမ့်မည်,तपाईं मात्र यो देख्ने,nguwe wedwa ozabona lokhu,Somente você vai ver isso,Somente você vai ver isso,Somente você vai ver isso,kanlla rikuyta ushankimi,Mwebwegusa nimwe muzobona ibi.,Только вы увидите это,,Ndiwe wega unokwanisa kuona izvi,Wewe tu ndiye kuona hii,Танҳо шумо инро дида,เฉพาะคุณเท่านั้นที่จะเห็นสิ่งนี้,,صرف تم اسے دیکھیں گے
email_address,Enter your email address,أدخل عنوان بريدك الالكتروني,,Lembani email yanu,Ingrese tu correo electrónico,Entrez votre adresse email,Masukkan Alamat Email Anda,សូម​ប​ញ្ជូ​ល​អាសយដ្ឋាន​អ៊ី​ម៊ែ​ល​របស់​អ្នក,,сиздин электрондук почтанын дарегин кирет,သင့်အီးမေးလ်လိပ်စာကိုရိုက်ထည့်,तपाईंको इमेल ठेगाना हाल्नुहोस,faka iemail adiresi yakho,Insira o seu endereço de email,Insira o seu endereço de email,Insira o seu endereço de email,kikinpa chaskipawachita churapay,Injiza aderese imeyiri yanyu,Введите адрес электронной почты.,,Isa adiresi yedandemutande rako,Kuingia barua pepe yako,нишонии имейли худро нависед,กรอกที่อยู่อีเมล์ของคุณ,,اپنا ای میل کا پتا لکھو
email_address_helptext,e.g. example@foo.com,على سبيل المثال example@foo.com,,chitsanzo: mwachitsanzo@foo.com,por ejemplo example@foo.com,Ex: example@foo.com,misalnya example@foo.com,ឧ example@foo.com,,мисалы example@foo.com,ဥပမာ example@foo.com,जस्तै example@foo.com,njengalokhu example@foo.com,por exemplo example@foo.com,por exemplo example@foo.com,por exemplo example@foo.com,shina example@gmail.com,Ak: akarorero@foo.com,например example@foo.com,,sekuti example@foo.com,mfano example@foo.com,масалан example@foo.com,เช่น example@foo.com,,مثال کے طور پر example@foo.com
